Town,Population,OneDose,FullVax,FirstBoost,SecondBoost,OneDosePerCap,FullVaxPerCap,FirstBoostPerCap,SecondBoostPerCap,accountants_per_10000_residents_2013,apartments_condos_multis_per_residential_parcels_2011,architects_per_10000_2013,assessed_home_value_changes_2009-2013,barbers_per_10000_residents_2013,births_per_1000_residents_2010,boaters_per_10000_residents_2012,burglaries_per_10000_residents_2011,cars_motorcycles_&_trucks_average_age_2012,cars_per_1000_residents_2012,class_size_in_school_district_2011-2012,condos_as_perc_of_parcels_2012,construction_supervisors_per_10000_2013,crashes_per_1000_residents_2007-2011,culture_and_rec_spending_per_person_2012,dentists_per_10000_2013,doctors_per_10000_residents_2013,education_spending_as_a_percent_2012,education_spending_per_resident_2012,electricians_per_1000_residents_2013,expenditures_per_resident_2012,females_percent_in_community_2010,fire_dept_spending_as_a_percent_2012,firefighter_costs_per_resident_2012,fixed_costs_percent_2012,funeral_directors_per_10000_2013,gun_licenses_per_1000_residents_2012,historic_places_per_10000_2013,home_schooled_per_1000_students_2011-2012,homes_built_in_39_or_before,household_member_who_is_2_races_or_more_per_1000_households_2010,households_average_size_2010,households_one-person_2010,hybrid_cars_per_1000_vehicles_2013,in_home_since_1969_or_earlier,income_average_per_resident_2010,income_change_per_resident_2007-2010,inmates_in_state_prison_per_1000_residents,liquor_licenses_per_10000_2011,massage_therapists_per_10000_2012,median_age_2011,miles_driven_daily_per_household_05-07,minority_students_per_district_2012-2013,motorcycles_change_in_ownership_2000-2012,motorcycles_per_1000_2012,multi-generation_households_2010,police_costs_per_resident_2013,police_employees_per_10000_residents_2011,police_spending_as_a_percent_2012,population_change_1950-2010,population_change_2010-2011,presidential_fundraising_obama_vs_romney,property_crimes_per_10000_residents_2012,property_tax_change_09-13,pupils_per_cost_average_by_district_2011-2012,real_estate_professionals_per_1000_residents_2013,residential_taxes_as_percent_of_all_property_taxes_2013,saltwater_fishing_licenses_per_1000_2013,school_district_growth_09-13,single-person_households_percent_65_and_older,snowmobiles_per_10000_residents_2012,state_aid_as_a_percent_of_town_budget_2012,students_in_public_schools_2011,tax-exempt_property_2012,tax_bills_for_single-family_homes_2012,tax_bills_for_single-family_homes_2013,taxable_property_by_percent_2012,teacher_salaries_by_average_2011,teachers_percent_under_40_years_old_2011-2012,trucks_per_1000_residents_2012,veterinarians_per_10000_2013,violent_crimes_per_10000_residents_2012,voters_as_a_percent_of_population_2012,voters_change_in_registrations_between_1982-2012,voters_democrats_as_a_percent_2012,2020_votes,2022_gov
Barnstable,48910.0,43359.0,38211.0,21906.0,6248.0,0.8865058270292374,0.7812512778572889,0.4478838683295849,0.1277448374565528,13.1,0.09,3.3,,6.0,8.9,1003.7,79.7,10.7,492.7,17.2,0.061,7.3,46.3,65.0,12.4,60.4,50.9,1347.0,3.4,2445.0,51.8,,,12.1,3.5,65.2,18.8,10.0,13.0,10.2,2.33,29.0,22.0,4.7,29719.0,-0.06,1.6,29.9,24.0,47.0,56.3,20.6,0.123,20.8,28.5,218.0,27.9,8.9,3.31,-0.001,353.0,281.0,,13564.0,22.0,88.2,50.3,0.135,45.6,0.7,8.2,0.907,9.3,,,90.7,68127.0,0.21,418.0,3.8,62.1,32923.0,0.56,24.6,28427.0,Healey
Bourne,20447.0,17343.0,15512.0,9586.0,2765.0,0.8481928889323617,0.7586442998972954,0.468821832053602,0.1352276617596713,9.6,0.139,1.0,-0.131,9.1,8.6,1322.3,114.0,9.6,438.3,18.1,0.1,6.6,134.0,31.0,3.5,9.6,48.3,1110.0,3.0,2300.0,48.9,6.64,153.0,8.5,4.0,77.4,1.5,10.7,17.9,6.0,2.3,29.8,19.5,4.7,27261.0,-0.09,0.8,21.3,12.0,42.9,73.3,11.6,0.29,24.3,25.6,167.0,22.1,7.3,3.19,0.0,153.0,275.0,0.114,13629.0,10.0,87.6,47.3,-0.138,46.9,0.5,11.3,0.909,20.7,3550.0,3680.0,79.3,65670.0,0.3,378.0,7.1,38.2,13645.0,0.93,22.3,12119.0,Healey
Brewster,10313.0,8871.0,7948.0,5300.0,1974.0,0.8601764762920585,0.7706777853194997,0.5139144768738485,0.1914089013865994,14.3,0.216,2.0,-0.135,4.1,6.6,591.6,60.1,11.0,487.2,18.9,0.178,5.1,69.0,274.0,6.1,12.2,45.6,1601.0,3.3,3316.0,53.7,5.21,173.0,13.5,0.0,86.8,5.1,3.5,7.3,2.0,2.17,30.2,26.9,2.3,28424.0,-0.07,0.1,28.5,27.0,53.6,65.1,12.9,0.116,19.6,16.2,195.0,25.3,5.9,8.95,-0.001,121.0,171.0,0.153,17748.0,20.0,94.2,64.3,-0.075,55.1,6.1,5.7,0.99,7.1,3352.0,3475.0,92.9,72995.0,0.04,446.0,10.2,15.1,8198.0,1.26,25.1,7436.0,Healey
Chatham,6591.0,6213.0,5423.0,3647.0,1491.0,0.942649066909422,0.8227886511910181,0.553330298892429,0.2262175694128357,14.7,0.079,9.8,-0.109,1.6,4.9,4158.4,32.7,11.6,585.8,14.4,0.06,19.6,72.7,231.0,13.1,19.6,28.3,1570.0,2.8,4709.0,52.7,7.72,364.0,11.6,1.6,100.3,21.2,2.2,18.3,1.2,1.95,36.5,26.1,6.6,38178.0,-0.28,0.7,58.8,29.0,56.9,56.5,,0.288,21.9,12.3,279.0,43.8,5.9,1.49,0.0,94.0,275.0,0.198,17062.0,37.0,92.9,86.0,,55.5,1.6,8.2,0.987,6.3,3536.0,3919.0,93.7,70171.0,0.19,529.0,1.6,29.1,5603.0,0.16,20.0,5075.0,Healey
Dennis,14670.0,12856.0,11439.0,7379.0,2637.0,0.876346284935242,0.7797546012269939,0.5029993183367416,0.1797546012269938,14.8,0.143,2.1,-0.111,9.9,8.2,1217.0,146.5,10.9,554.3,,0.1,14.1,160.0,193.0,5.6,7.0,36.9,1152.0,5.0,2735.0,53.6,9.1,249.0,11.3,2.8,,3.5,9.5,11.6,2.2,2.03,36.4,20.9,3.7,26477.0,-0.01,1.3,45.8,29.0,52.5,51.5,,0.05,20.6,19.2,268.0,34.3,9.8,4.69,-0.001,134.0,369.0,0.068,,28.0,92.2,66.6,,50.8,7.7,1.3,0.938,2.7,2309.0,2388.0,97.3,,,436.0,1.4,34.2,11762.0,0.36,24.3,10321.0,Healey
Eastham,5746.0,4994.0,4392.0,2979.0,1213.0,0.8691263487643578,0.7643578141315698,0.5184476157326836,0.2111033762617473,18.2,0.07,2.0,-0.086,8.1,6.1,1626.3,72.7,10.9,523.6,17.6,0.042,18.2,128.7,122.0,8.1,0.0,35.7,1451.0,5.9,3576.0,53.5,8.7,311.0,16.3,0.0,116.7,24.2,2.0,5.3,1.3,2.08,30.4,30.5,6.4,25769.0,-0.03,0.6,34.3,18.0,56.6,62.4,10.3,0.212,25.4,16.8,307.0,40.1,8.6,4.76,-0.001,71.0,252.0,0.124,19519.0,17.0,95.9,97.3,-0.085,51.6,0.0,2.1,0.996,7.3,2890.0,2936.0,92.7,71920.0,0.17,552.0,6.1,16.0,4269.0,0.72,28.8,4100.0,Healey
Falmouth,32512.0,29425.0,26076.0,16833.0,5814.0,0.905050442913386,0.8020423228346457,0.5177472933070866,0.178826279527559,9.8,0.082,6.7,-0.096,12.7,8.1,1379.9,184.4,10.4,520.2,16.4,0.056,9.8,113.4,85.0,10.1,47.3,41.0,1391.0,3.7,3160.0,53.2,5.42,171.0,18.1,3.8,69.1,4.1,9.7,13.7,6.4,2.21,32.5,24.9,7.0,30119.0,-0.06,1.4,30.4,19.0,50.8,59.4,16.2,0.106,20.9,25.7,154.0,18.9,4.9,2.64,-0.001,497.0,336.0,0.195,14939.0,20.0,92.2,54.5,-0.062,52.1,1.6,7.6,0.922,9.3,3656.0,3789.0,90.7,72191.0,0.29,396.0,3.5,40.6,25376.0,0.57,29.4,21890.0,Healey
Harwich,13435.0,12045.0,10787.0,7080.0,2588.0,0.896538890956457,0.8029028656494231,0.5269817640491254,0.1926311871976181,15.5,0.105,2.5,-0.148,4.1,7.7,916.4,117.7,10.7,511.2,15.0,0.073,13.1,88.0,256.0,8.2,16.3,31.1,1321.0,3.4,4047.0,53.5,6.98,282.0,18.2,0.0,92.5,2.5,13.2,15.4,2.8,2.15,33.0,25.8,5.2,29505.0,-0.01,0.9,34.3,36.0,50.8,60.2,,0.27,23.9,19.9,246.0,26.8,6.1,3.62,-0.001,99.0,203.0,0.17,14511.0,24.0,92.7,64.5,,57.6,4.9,7.3,0.951,5.7,3586.0,3690.0,94.3,67436.0,0.21,467.0,3.3,22.7,10452.0,0.5,24.9,9448.0,Healey
Mashpee,15054.0,13314.0,11752.0,7566.0,2490.0,0.8844161020326824,0.7806563039723662,0.5025906735751295,0.1654045436428856,15.0,0.271,2.9,-0.101,6.4,8.9,1268.0,43.6,9.5,487.3,15.4,0.223,5.7,64.5,48.0,12.1,21.4,40.7,1435.0,3.9,3436.0,53.5,6.32,217.0,17.6,0.0,75.4,1.4,7.3,2.7,7.3,2.27,30.6,19.7,0.6,28959.0,-0.02,1.2,20.7,15.0,46.7,70.7,20.1,0.291,20.9,27.5,266.0,31.2,7.7,30.98,-0.001,75.0,210.0,0.169,15331.0,18.0,91.7,49.3,-0.051,48.5,0.7,11.6,0.941,6.7,3833.0,4056.0,93.3,69090.0,0.21,378.0,5.0,33.3,10586.0,3.56,24.9,10263.0,Healey
Orleans,6303.0,6297.0,5460.0,3591.0,1447.0,0.9990480723465016,0.866254164683484,0.569728700618753,0.2295732191020149,13.6,0.165,18.7,-0.091,3.4,3.9,2370.1,158.0,10.8,560.6,15.8,0.123,18.7,110.7,291.0,22.1,17.0,29.9,1313.0,3.1,3979.0,52.9,8.78,350.0,14.0,10.2,98.7,6.8,8.7,18.6,2.2,1.97,37.5,28.7,1.6,36674.0,-0.2,0.3,61.1,41.0,62.4,54.1,10.9,0.107,21.1,16.9,378.0,48.9,9.5,2.35,-0.001,164.0,300.0,0.136,21458.0,36.0,92.1,77.1,0.096,62.1,0.0,1.5,0.989,6.2,4219.0,4293.0,93.8,63144.0,0.22,581.0,6.8,28.6,5429.0,0.33,24.9,4842.0,Healey
Provincetown,3658.0,3974.0,3542.0,2374.0,1107.0,1.086386003280481,0.9682886823400766,0.6489885183160197,0.3026243849097867,13.6,0.725,10.2,-0.125,13.6,6.1,1373.2,47.6,10.7,623.4,8.0,0.515,10.2,48.9,144.0,13.6,27.2,14.4,1058.0,3.1,5716.0,45.5,2.4,137.0,24.3,6.8,58.5,34.0,0.0,50.9,1.6,1.64,54.3,28.7,3.6,34764.0,0.08,1.4,237.9,122.0,51.8,41.4,40.9,-0.174,24.1,7.4,598.0,87.8,10.5,-0.22,-0.001,176.0,394.0,0.159,33811.0,39.0,82.2,41.5,-0.378,28.2,0.0,2.3,0.984,7.9,5425.0,5482.0,92.1,58968.0,0.16,515.0,3.4,91.0,2975.0,-0.05,57.2,2613.0,Healey
Sandwich,20254.0,17143.0,15534.0,9801.0,2739.0,0.8464007109706725,0.7669596129159673,0.4839044139429248,0.1352325466574503,14.5,0.061,4.4,-0.154,8.7,7.0,464.3,28.6,9.5,435.1,18.7,0.045,6.3,80.3,58.0,8.2,16.4,46.7,1452.0,3.4,3065.0,51.8,6.17,189.0,19.3,0.0,69.7,3.9,9.8,6.8,3.9,2.61,21.3,25.6,0.8,31582.0,-0.05,0.5,19.8,15.0,43.5,83.0,3.8,0.322,19.1,26.9,164.0,16.8,5.4,7.55,-0.001,84.0,152.0,0.131,12087.0,18.0,86.9,54.2,-0.126,44.8,2.4,14.6,0.92,10.4,4515.0,4725.0,89.6,64939.0,0.21,411.0,4.4,18.7,15659.0,1.68,21.3,14061.0,Healey
Truro,2450.0,2182.0,1940.0,1314.0,567.0,0.8906122448979592,0.7918367346938775,0.5363265306122449,0.2314285714285714,0.0,0.194,20.0,-0.107,5.0,6.0,1078.4,89.9,10.9,526.7,19.2,0.133,20.0,117.8,667.0,5.0,10.0,28.8,2040.0,5.5,6505.0,50.6,1.82,119.0,16.6,0.0,139.9,20.0,0.0,17.4,1.3,2.03,33.3,30.0,4.9,34636.0,0.13,0.0,69.9,15.0,53.0,69.6,16.1,0.152,37.9,13.2,649.0,69.5,10.0,2.03,0.0,80.0,198.0,0.134,20636.0,31.0,93.6,96.9,0.007,38.7,15.0,2.6,0.985,7.9,4275.0,4338.0,92.1,61180.0,0.4,592.0,10.0,19.8,1760.0,0.66,37.9,1762.0,Healey
Wellfleet,3561.0,3138.0,2792.0,1891.0,797.0,0.8812131423757371,0.7840494243190115,0.5310306093793878,0.2238135355237293,18.2,0.11,18.2,-0.07,7.3,6.5,2130.9,61.9,11.0,581.8,13.3,0.074,32.7,146.2,299.0,7.3,25.5,29.2,1704.0,5.5,5653.0,53.3,7.33,415.0,14.6,0.0,100.8,47.3,3.5,17.5,0.5,2.01,37.3,32.3,2.4,31815.0,-0.03,0.0,123.6,47.0,60.1,66.4,9.7,0.077,35.6,11.0,525.0,61.4,9.3,1.45,-0.001,97.0,195.0,0.164,22633.0,31.0,94.9,86.9,0.069,44.4,0.0,2.3,0.993,6.3,3474.0,3614.0,93.7,62809.0,0.17,590.0,3.6,21.6,2721.0,0.62,39.1,2516.0,Healey
Yarmouth,25020.0,21751.0,19331.0,12030.0,3946.0,0.8693445243804956,0.7726219024780175,0.4808153477218225,0.1577138289368505,8.0,0.146,3.8,-0.182,10.9,8.7,676.2,168.2,10.4,496.2,,0.092,11.3,97.4,74.0,8.8,17.7,45.7,1164.0,4.1,2400.0,53.5,10.14,243.0,10.4,5.0,,2.5,3.9,6.0,5.0,2.1,35.3,22.0,3.2,24547.0,-0.12,1.0,27.3,18.0,51.4,47.8,,0.28,18.8,21.6,244.0,29.7,10.2,6.22,-0.001,164.0,305.0,0.201,,19.0,89.6,51.4,,56.0,1.7,1.8,0.916,5.8,2894.0,3003.0,94.2,,,398.0,4.2,61.3,18260.0,0.41,25.8,15452.0,Healey
Adams,8163.0,6762.0,6032.0,3586.0,890.0,0.8283719220874678,0.7389440156805096,0.4392992772265098,0.1090285434276614,5.9,0.209,1.2,-0.051,11.8,10.3,212.1,77.1,10.0,375.1,,0.006,3.5,55.5,59.0,2.4,7.1,38.4,538.0,6.1,1010.0,51.8,0.05,1.0,15.4,4.7,107.4,18.9,10.2,57.9,5.7,2.17,35.0,10.5,11.9,18626.0,-0.07,0.8,25.9,6.0,41.8,42.7,,-0.095,27.0,15.4,98.0,22.3,9.7,-0.29,-0.006,15.0,226.0,0.128,,6.0,82.7,5.4,,44.3,251.4,15.1,0.928,12.0,2472.0,2453.0,88.0,,,366.0,0.0,48.2,5980.0,-0.03,35.8,4441.0,Healey
Becket,1925.0,1963.0,1689.0,958.0,289.0,1.0197402597402598,0.8774025974025974,0.4976623376623376,0.1501298701298701,0.0,0.005,0.0,-0.013,5.6,12.9,702.6,265.8,11.4,470.5,,0.0,16.9,208.5,36.0,,0.0,48.0,1296.0,2.8,2665.0,49.6,0.79,21.0,11.6,0.0,186.1,22.5,19.7,16.3,2.9,2.33,27.7,9.2,2.5,19510.0,-0.06,1.1,61.8,39.0,49.3,90.9,,0.014,39.3,31.5,109.0,11.2,4.1,1.36,-0.006,13.0,,0.19,,8.0,91.4,19.7,,32.7,401.6,4.1,0.911,5.2,2333.0,2353.0,94.8,,,508.0,5.6,,1354.0,0.88,28.6,1195.0,Healey
Cheshire,3254.0,2739.0,2426.0,1512.0,360.0,0.8417332513829133,0.7455439459127228,0.464658881376767,0.1106330669944683,6.2,0.046,0.0,-0.011,12.4,8.3,485.3,6.2,10.5,395.4,,0.0,12.4,94.6,7.0,,0.0,58.3,839.0,7.7,1331.0,49.4,0.6,8.0,7.2,0.0,214.2,9.3,22.0,26.0,3.9,2.31,26.4,16.9,7.5,24304.0,0.01,0.3,12.4,19.0,46.9,60.3,,0.008,37.1,10.7,22.0,,1.7,0.6,-0.006,1.0,34.0,0.164,,6.0,90.5,10.8,,40.5,531.7,18.2,0.951,13.8,2018.0,2132.0,86.2,,,482.0,3.1,3.1,2335.0,0.17,27.4,1946.0,Healey
Dalton,6326.0,5740.0,5089.0,3150.0,819.0,0.907366424280746,0.8044577932342712,0.4979449889345558,0.1294656971229845,14.8,0.144,4.4,-0.056,0.0,7.4,196.9,29.8,9.3,404.7,,0.041,4.4,88.5,36.0,4.4,5.9,60.8,1200.0,3.6,1776.0,52.0,,,9.7,0.0,106.8,10.4,2.7,36.9,4.5,2.43,27.0,13.3,14.9,32234.0,0.13,1.3,22.2,22.0,46.1,49.9,,0.128,24.9,24.1,119.0,14.7,6.7,0.42,-0.006,33.0,100.0,0.14,,7.0,83.6,12.9,,45.8,205.5,8.2,0.92,11.7,3589.0,3652.0,88.4,,,351.0,4.4,31.0,4667.0,0.18,30.4,3821.0,Healey
Egremont,1366.0,673.0,526.0,314.0,133.0,0.4926793557833089,0.3850658857979502,0.2298682284040995,0.0973645680819912,0.0,0.023,0.0,-0.176,8.2,4.1,179.6,32.8,11.6,578.8,,0.0,40.8,96.3,41.0,,0.0,42.0,1129.0,1.6,2419.0,52.8,2.32,56.0,10.4,0.0,27.9,24.5,23.4,22.1,3.3,2.16,30.2,15.4,8.7,21335.0,-0.13,0.8,57.1,73.0,56.4,58.7,,-0.111,26.1,16.0,216.0,56.8,8.9,0.68,-0.006,14.0,146.0,0.046,,13.0,94.1,7.3,,47.1,32.8,5.8,0.68,13.6,3024.0,2971.0,86.4,,,452.0,8.2,24.4,982.0,0.14,37.7,973.0,Healey
Florida,689.0,108.0,91.0,53.0,13.0,0.1567489114658926,0.1320754716981132,0.0769230769230769,0.0188679245283018,0.0,0.003,0.0,-0.048,0.0,10.6,332.4,,10.4,311.2,12.5,0.0,13.3,85.1,27.0,,0.0,51.1,1823.0,10.6,3405.0,48.7,1.87,64.0,17.3,0.0,48.1,13.3,18.2,24.5,8.4,2.44,21.8,5.8,12.1,13787.0,-0.11,0.0,,,42.7,77.9,6.8,-0.118,39.9,9.7,2.0,,0.1,0.57,-0.005,,,0.192,13512.0,5.0,49.6,5.3,-0.116,37.3,949.2,20.6,0.982,4.9,1245.0,1325.0,95.1,37580.0,0.47,508.0,0.0,,538.0,0.13,20.5,418.0,Diehl
Great Barrington,7167.0,9068.0,7517.0,4675.0,1485.0,1.2652434770475791,1.0488349379098647,0.6522952420817636,0.2071996651318543,16.9,0.167,16.9,-0.053,4.2,6.9,177.4,60.9,10.4,449.3,,0.045,14.1,136.8,76.0,7.0,77.4,55.8,1593.0,5.6,2623.0,52.3,1.74,46.0,7.6,12.7,73.9,16.9,12.2,51.8,6.6,2.2,35.2,,10.7,30174.0,-0.06,0.8,69.0,62.0,45.8,51.4,,0.038,19.4,24.3,196.0,25.2,7.5,0.06,-0.005,179.0,,0.095,,11.0,79.3,8.7,,37.5,59.4,3.8,0.81,15.9,4914.0,4942.0,84.2,,,332.0,7.0,,4606.0,0.21,39.8,4112.0,Healey
Hinsdale,1915.0,2378.0,2120.0,1241.0,344.0,1.24177545691906,1.1070496083550914,0.6480417754569191,0.1796344647519582,0.0,0.083,0.0,0.048,0.0,7.9,1038.4,84.2,10.8,397.6,,0.026,9.8,16.7,,,0.0,,,6.9,,49.9,,,,4.9,175.7,0.0,26.7,29.5,1.8,2.34,25.9,14.9,3.5,26203.0,-0.05,1.0,29.5,34.0,46.3,70.7,,0.013,37.9,34.6,,4.9,,0.3,-0.006,5.0,,0.149,,6.0,84.4,17.2,,40.0,425.7,6.8,0.913,13.3,2684.0,2925.0,86.7,,,445.0,4.9,,1417.0,0.42,24.8,1210.0,Healey
Lanesborough,3033.0,2697.0,2320.0,1411.0,393.0,0.8892185954500494,0.7649192218925157,0.4652159577975602,0.1295746785361028,3.2,0.063,0.0,-0.034,6.5,9.7,634.1,,10.6,391.5,16.9,0.016,9.7,54.4,32.0,,3.2,55.9,1747.0,5.2,2983.0,50.8,0.78,23.0,15.3,0.0,164.7,6.5,23.6,24.2,2.7,2.39,25.4,16.9,19.2,21333.0,-0.2,1.0,45.3,6.0,42.3,61.2,5.7,-0.113,33.0,31.0,197.0,22.5,6.6,0.49,-0.006,48.0,,0.2,14498.0,4.0,80.0,10.0,-0.207,34.5,374.2,17.4,0.951,7.5,3674.0,3876.0,92.5,,0.19,451.0,0.0,,2205.0,0.16,28.6,1891.0,Healey
Lee,5784.0,5606.0,4836.0,2955.0,792.0,0.969225449515906,0.8360995850622407,0.5108921161825726,0.1369294605809128,3.4,0.166,0.0,-0.021,15.1,8.7,353.4,57.6,10.0,422.2,14.5,0.065,8.4,58.9,55.0,6.7,15.1,47.3,1288.0,3.9,2520.0,52.0,0.65,16.0,21.1,5.0,135.9,11.8,23.7,29.0,4.3,2.26,32.4,14.0,10.8,23579.0,-0.14,1.5,45.4,24.0,43.3,55.2,13.3,-0.2,18.8,21.9,149.0,20.1,5.9,0.23,-0.006,61.0,218.0,0.133,14047.0,6.0,70.0,9.8,-0.131,46.4,223.5,17.1,0.89,11.4,3370.0,3465.0,88.6,56898.0,0.34,388.0,5.0,25.2,4086.0,0.27,28.6,3489.0,Healey
Lenox,5090.0,4974.0,4219.0,2942.0,1077.0,0.9772102161100196,0.8288801571709233,0.5779960707269155,0.2115913555992141,19.9,0.241,8.0,-0.116,2.0,6.4,163.2,48.0,9.4,473.4,13.6,0.163,8.0,141.1,99.0,13.9,37.8,49.8,1646.0,2.8,2533.0,54.8,1.6,41.0,17.8,10.0,91.3,17.9,0.0,28.2,4.3,2.09,40.3,19.3,5.8,35804.0,-0.06,0.4,89.6,64.0,48.4,53.5,11.0,-0.374,13.3,14.5,124.0,21.8,4.9,0.39,-0.006,166.0,244.0,0.127,15072.0,15.0,81.1,9.0,-0.04,59.9,92.1,16.5,0.905,11.7,4354.0,4496.0,88.3,68077.0,0.17,304.0,2.0,9.9,3811.0,0.11,42.8,3368.0,Healey
Monterey,1089.0,798.0,654.0,440.0,140.0,0.7327823691460055,0.6005509641873278,0.404040404040404,0.1285583103764922,0.0,0.032,10.4,0.041,0.0,5.2,1279.9,,11.4,484.9,,0.012,20.8,6.2,101.0,10.4,0.0,35.6,1117.0,2.1,3112.0,52.3,4.43,138.0,8.9,10.4,119.2,31.2,21.7,24.1,0.0,2.17,28.6,26.4,4.9,20917.0,-0.22,1.0,10.4,21.0,57.2,73.3,,0.429,20.8,9.4,178.0,20.7,5.7,1.62,-0.005,14.0,31.0,0.117,,18.0,96.3,5.2,,34.4,146.4,8.5,0.87,10.1,2795.0,2972.0,89.9,,,402.0,10.4,41.5,744.0,0.55,41.0,592.0,Healey
New Marlborough,1524.0,720.0,630.0,360.0,98.0,0.4724409448818897,0.4133858267716535,0.2362204724409448,0.0643044619422572,6.6,0.027,6.6,-0.057,0.0,6.6,430.7,,11.7,465.2,,0.0,26.5,51.7,55.0,,0.0,54.7,1502.0,3.3,2702.0,49.3,2.38,64.0,5.2,0.0,154.0,19.9,35.5,40.1,1.0,2.34,25.9,15.5,4.5,18213.0,-0.14,0.7,33.1,27.0,49.1,74.4,,-0.045,27.8,15.9,65.0,,2.4,0.53,-0.006,31.0,,0.164,,5.0,94.2,4.6,,42.3,133.3,2.2,0.848,4.2,3198.0,3391.0,95.8,,,486.0,26.5,,1135.0,0.63,28.7,959.0,Healey
North Adams,12956.0,11699.0,10309.0,5971.0,1521.0,0.9029793146032726,0.7956931151589997,0.4608675517134918,0.1173973448595245,5.1,0.283,0.0,-0.064,4.4,9.4,108.0,,10.1,323.0,14.7,0.011,3.6,130.1,39.0,9.5,35.7,42.3,1200.0,5.3,2024.0,53.0,3.32,67.0,17.5,5.1,73.5,19.7,0.0,61.3,6.1,2.15,37.3,8.7,9.9,14479.0,-0.01,2.3,27.0,9.0,39.0,35.0,15.9,-0.123,18.7,18.7,94.0,23.9,4.7,-0.36,-0.006,29.0,434.0,0.223,14912.0,4.0,77.5,4.4,-0.042,41.8,69.7,46.1,0.971,20.8,2008.0,2071.0,79.2,66657.0,0.31,294.0,3.6,70.5,9112.0,0.05,33.9,5932.0,Healey
Otis,1629.0,1295.0,1103.0,641.0,202.0,0.7949662369551872,0.6771025168815225,0.3934929404542664,0.1240024554941682,0.0,0.007,6.2,,0.0,6.2,4261.8,,11.3,413.8,,0.0,31.0,84.4,83.0,12.4,0.0,52.9,1450.0,4.3,2743.0,49.1,1.02,28.0,6.7,0.0,168.5,0.0,22.5,21.3,2.4,2.28,23.7,16.3,8.0,24037.0,-0.16,0.6,43.4,31.0,50.5,86.1,,0.016,39.7,26.8,38.0,,1.4,3.49,-0.006,8.0,,,,9.0,93.6,16.7,,38.7,1098.6,3.1,0.91,5.1,2221.0,2273.0,94.9,,,509.0,6.2,,1132.0,0.85,24.2,1014.0,Healey
Pittsfield,43922.0,39173.0,34154.0,20071.0,5196.0,0.8918765083557215,0.7776057556577569,0.4569691726241974,0.1183006238331587,12.3,0.213,2.2,-0.059,10.5,11.4,227.8,103.2,9.6,393.7,16.6,0.033,1.1,123.9,35.0,9.8,65.0,42.5,1184.0,2.6,2188.0,52.0,5.05,111.0,24.3,4.7,64.4,4.7,8.9,41.2,8.9,2.22,35.3,13.3,9.8,21770.0,-0.08,4.3,27.3,22.0,42.6,38.3,27.5,0.055,19.0,23.8,144.0,23.3,6.6,-0.16,-0.006,277.0,261.0,0.15,12709.0,6.0,78.5,6.1,-0.022,40.2,113.8,35.6,0.939,17.4,2858.0,2965.0,82.7,58114.0,0.29,292.0,3.4,42.6,30182.0,0.03,43.5,21942.0,Healey
Richmond,1403.0,1008.0,889.0,629.0,242.0,0.7184604419101924,0.6336421952957947,0.4483250178189594,0.172487526728439,0.0,0.032,0.0,-0.04,0.0,3.4,420.3,,10.2,477.3,16.2,0.01,6.8,92.9,42.0,,20.3,62.2,1959.0,2.0,2720.0,51.5,1.43,39.0,5.8,0.0,107.8,40.7,6.5,25.2,3.3,2.24,25.7,26.3,13.9,42327.0,-0.15,0.0,6.8,34.0,52.2,68.7,7.5,-0.364,14.2,10.7,2.0,,0.1,1.0,-0.006,44.0,,0.091,14140.0,12.0,94.5,12.2,-0.165,45.0,68.2,14.6,0.954,5.2,4048.0,4176.0,94.8,,0.18,404.0,20.3,,1167.0,0.19,33.5,1057.0,Healey
Sandisfield,984.0,636.0,536.0,291.0,98.0,0.6463414634146342,0.5447154471544715,0.2957317073170731,0.0995934959349593,0.0,0.005,0.0,-0.16,10.9,5.5,306.0,,12.0,425.1,,0.0,21.9,66.7,28.0,,0.0,51.9,1398.0,1.1,2693.0,46.4,2.31,62.0,6.8,0.0,152.7,32.8,60.0,23.9,1.5,2.28,28.1,19.0,7.0,16435.0,-0.1,0.0,54.6,,46.9,77.8,,0.409,33.9,39.8,51.0,,1.9,1.09,-0.005,20.0,,0.181,,5.0,90.0,16.4,,41.5,296.7,3.3,0.94,6.6,2708.0,2950.0,93.4,,,477.0,0.0,,615.0,0.45,35.6,515.0,Healey
Savoy,638.0,478.0,437.0,267.0,64.0,0.7492163009404389,0.6849529780564263,0.4184952978056426,0.1003134796238244,0.0,0.012,0.0,-0.115,0.0,10.1,549.1,,10.2,380.1,5.7,0.0,28.9,91.0,3.0,,0.0,51.2,1304.0,13.0,2150.0,49.3,0.79,17.0,7.2,0.0,197.7,14.5,74.8,26.3,11.2,2.32,28.2,9.4,6.3,21451.0,0.09,2.9,43.4,,42.9,75.9,9.6,0.235,60.7,13.4,9.0,,0.4,1.38,-0.006,7.0,,0.042,13384.0,3.0,92.6,7.2,-0.226,36.9,1424.4,36.8,0.907,14.6,2512.0,2500.0,85.4,44898.0,0.32,533.0,0.0,,462.0,0.76,17.5,399.0,Diehl
